TimeWIB,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
7:00 AM,25.0,24.0,94,1014,4.0,Calm,Calm,-,N/A,,Haze,0,2015-02-03 00:00:00
8:00 AM,26.0,24.0,89,1015,3.0,West,5.6,-,N/A,,Haze,280,2015-02-03 01:00:00
10:00 AM,26.0,24.0,89,-9999,4.0,NNW,9.3,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,330,2015-02-03 03:00:00
11:00 AM,26.0,24.0,89,1015,4.0,WNW,7.4,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,300,2015-02-03 04:00:00
12:00 PM,27.0,23.0,79,1014,5.0,WNW,11.1,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,300,2015-02-03 05:00:00
1:00 PM,28.0,23.0,74,1013,5.0,WNW,9.3,-,N/A,,Haze,300,2015-02-03 06:00:00
2:00 PM,29.0,23.0,70,1012,5.0,West,11.1,-,N/A,,Haze,280,2015-02-03 07:00:00
3:00 PM,30.0,23.0,66,1011,5.0,WNW,7.4,-,N/A,,Haze,300,2015-02-03 08:00:00
5:00 PM,28.0,24.0,79,1012,5.0,WNW,11.1,-,N/A,,Haze,300,2015-02-03 10:00:00
6:00 PM,27.0,24.0,84,1012,5.0,NNW,11.1,-,N/A,,Haze,330,2015-02-03 11:00:00
