TimeWIB,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
6:00 AM,24.0,23.0,94,1011,4.0,Calm,Calm,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,0,2015-01-31 23:00:00
11:00 AM,23.0,23.0,100,1014,1.0,Calm,Calm,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,0,2015-02-01 04:00:00
12:00 PM,23.0,23.0,100,1014,1.0,SSW,9.3,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,200,2015-02-01 05:00:00
1:00 PM,24.0,24.0,100,1013,1.0,Calm,Calm,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,0,2015-02-01 06:00:00
2:00 PM,24.0,24.0,100,1012,1.5,Calm,Calm,-,N/A,Rain-Thunderstorm,Thunderstorms and Rain,0,2015-02-01 07:00:00
3:00 PM,25.0,24.0,94,1012,2.0,SSE,11.1,-,N/A,Thunderstorm,Thunderstorm,150,2015-02-01 08:00:00
4:00 PM,25.0,24.0,94,1012,2.0,SE,7.4,-,N/A,Rain,Light Rain,140,2015-02-01 09:00:00
6:00 PM,25.0,24.0,94,1012,2.0,ESE,11.1,-,N/A,Rain,Light Rain,120,2015-02-01 11:00:00
